479970	346	Cubical.Categories.Profunctor.General
479729	344	Cubical.Foundations.More
476827	360	Cubical.Reflection.RecordEquiv.More
470068	310	Cubical.Categories.Instances.Fiber
459820	326	Cubical.Data.Sigma.More
459768	327	Cubical.Foundations.HLevels.More
417429	233	Cubical.Categories.Displayed.Magmoid
417192	232	Cubical.Categories.Displayed.Instances.Reindex.Eq.Base
416887	230	Cubical.Categories.Instances.Quotient.More
416820	229	Cubical.Categories.Instances.Presented
409103	302	Cubical.Data.Equality.More
404203	290	Cubical.Categories.NaturalTransformation.More
403437	302	Cubical.Categories.Bifunctor
397873	291	Cubical.Categories.Instances.Sets.More
397088	290	Cubical.Foundations.Isomorphism.More
396788	288	Cubical.HITs.PathEq
396714	288	Cubical.Categories.Presheaf.More
396689	287	Cubical.Categories.Presheaf.Morphism.Alt
386633	265	Cubical.Categories.Displayed.Functor.More
385225	263	Cubical.Categories.Displayed.Instances.Functor.Base
382435	262	Cubical.Categories.Displayed.Instances.Functor.Properties
382356	261	Cubical.Categories.Displayed.Instances.Functor
379508	275	Cubical.Categories.Profunctor.Relator
377500	266	Cubical.Categories.Presheaf.Constructions.Lift
377490	265	Cubical.Categories.Presheaf.Morphism.Lift
377461	264	Cubical.Categories.Presheaf.Representable.More
377450	265	Cubical.Categories.Presheaf.Constructions.Tensor
377127	264	Cubical.Categories.Profunctor.Constructions.Extension
376977	263	Cubical.Categories.Presheaf.Constructions.Reindex
375443	255	Cubical.Categories.Displayed.Instances.Sets.Base
374654	255	Cubical.Categories.Instances.BinProduct.More
374507	253	Cubical.Categories.Displayed.More
374421	254	Cubical.Categories.Instances.TotalCategory.More
374383	252	Cubical.Categories.Displayed.Presheaf.Base
374286	215	Cubical.Categories.Functors.More
368160	253	Cubical.Categories.FunctorComprehension.Base
367663	252	Cubical.Categories.FunctorComprehension
367615	250	Cubical.Categories.Yoneda.More
367561	249	Cubical.Categories.Presheaf.Constructions.BinProduct.Base
367138	250	Cubical.Categories.NaturalTransformation.Cartesian
367000	248	Cubical.Categories.Presheaf.Constructions.BinProduct.LocalRepresentability
366830	246	Cubical.Categories.Presheaf.Constructions.Comprehension
366562	247	Cubical.Categories.Presheaf.Constructions.BinProduct
366562	246	Cubical.Categories.Presheaf.Constructions.Exponential
366260	246	Cubical.Categories.Presheaf.Constructions.Unit
366227	245	Cubical.Categories.Presheaf.Constructions
363276	228	Cubical.Categories.Instances.BinProduct.Redundant.Base
362676	193	Cubical.Categories.Displayed.HLevels.More
362276	191	Cubical.Categories.Displayed.NaturalTransformation.More
361543	220	Cubical.Categories.Limits.BinProduct.More
339098	175	Cubical.Categories.Displayed.Instances.BinProduct.More
337143	181	Cubical.Foundations.Equiv.Dependent.More
335369	180	Cubical.Categories.Displayed.Presheaf.Morphism
328975	179	Cubical.Categories.Displayed.Presheaf.Constructions.ReindexFunctor.Base
327983	175	Cubical.Categories.Displayed.Presheaf.Properties
327846	174	Cubical.Categories.Displayed.Presheaf.Representable
323011	172	Cubical.Categories.Displayed.Bifunctor
320367	169	Cubical.Categories.Displayed.Presheaf.Constructions.Reindex.Base
319390	165	Cubical.Categories.Displayed.Presheaf.Constructions.Reindex.Properties
318579	181	Cubical.Categories.Limits.Terminal.More
313039	161	Cubical.Categories.Limits.Cartesian.Base
312257	168	Cubical.Categories.Displayed.Presheaf.Constructions.Unit.Base
312225	167	Cubical.Categories.Displayed.Presheaf.Section
311771	163	Cubical.Categories.Displayed.Presheaf.Constructions.Reindex
311364	160	Cubical.Categories.Displayed.Presheaf.Constructions.BinProduct.Base
311125	158	Cubical.Categories.Displayed.Presheaf.Constructions.BinProduct.Properties
309672	158	Cubical.Categories.Displayed.Presheaf.Constructions.BinProduct.LocalRepresentability.Base
309581	157	Cubical.Categories.Displayed.Presheaf.Constructions.BinProduct.LocalRepresentability.Properties
307885	147	Cubical.Categories.Exponentials.Small
306903	146	Cubical.Categories.Exponentials
305609	128	Cubical.Categories.HLevels
303141	156	Cubical.Categories.Displayed.Presheaf.Constructions.BinProduct.LocalRepresentability
303141	155	Cubical.Categories.Displayed.Presheaf.Constructions.BinProduct
303098	148	Cubical.Categories.Displayed.Profunctor
302602	129	Cubical.Categories.Limits.CartesianClosed.Base
301992	125	Cubical.Categories.Isomorphism.More
301951	126	Cubical.Categories.Instances.Thin
301934	125	Cubical.Categories.Instances.Props
301918	124	Cubical.Categories.Presheaf.StrictHom.Base
298017	115	Cubical.Categories.Presheaf.StrictHom.CartesianClosed
297213	154	Cubical.Categories.Displayed.Presheaf
297170	114	Cubical.Categories.Presheaf.StrictHom.Bifunctor
297102	113	Cubical.Categories.Presheaf.StrictHom
294465	142	Cubical.Categories.Displayed.FunctorComprehension
294115	106	Cubical.Categories.Displayed.Instances.Graph.Presheaf
290604	152	Cubical.Categories.Displayed.Presheaf.Constructions.ReindexFunctor
288712	135	Cubical.Categories.Displayed.Limits.BinProduct.Base
288503	149	Cubical.Categories.Displayed.Presheaf.Constructions.Unit.Properties
288312	148	Cubical.Categories.Displayed.Presheaf.Constructions.Unit
288202	149	Cubical.Categories.Displayed.Presheaf.Constructions.Lift.Base
288161	148	Cubical.Categories.Displayed.Presheaf.Constructions.Lift.Properties
287919	147	Cubical.Categories.Displayed.Presheaf.Constructions.Lift
287830	145	Cubical.Categories.Displayed.Presheaf.Constructions
287830	144	Cubical.Categories.Displayed.Presheaf.CartesianLift.Manual
287173	143	Cubical.Categories.Displayed.Presheaf.CartesianLift.Base
287111	142	Cubical.Categories.Displayed.Presheaf.CartesianLift.Properties
286364	141	Cubical.Categories.Displayed.Presheaf.CartesianLift
286364	140	Cubical.Categories.Displayed.Fibration.Base
282933	117	Cubical.Categories.Adjoint.UniversalElements
278816	127	Cubical.Categories.Displayed.Limits.Terminal
278782	128	Cubical.Categories.Displayed.Fibration
278782	127	Cubical.Categories.Displayed.Limits.BinProduct.Properties
278155	124	Cubical.Categories.Displayed.Limits.BinProduct
276546	115	Cubical.Categories.Displayed.Presheaf.Constructions.Exponential.Base
276314	99	Cubical.Categories.Displayed.Presheaf.Uncurried.Base
275442	121	Cubical.Categories.Displayed.Limits.CartesianD
274360	114	Cubical.Categories.Displayed.Presheaf.Constructions.Exponential.UniversalProperty
272362	113	Cubical.Categories.Displayed.Presheaf.Constructions.Exponential.Properties
270556	102	Cubical.Categories.Displayed.Fibration.TwoSided
270261	112	Cubical.Categories.Displayed.Presheaf.Constructions.Exponential
269791	96	Cubical.Categories.Displayed.Presheaf.Uncurried.Representable
269703	110	Cubical.Categories.Displayed.Exponentials.Small
269313	107	Cubical.Categories.Displayed.Instances.Weaken.Properties
266695	101	Cubical.Categories.Displayed.Instances.Graph.Base
266592	100	Cubical.Categories.Displayed.Instances.Graph.Properties
266554	99	Cubical.Categories.Displayed.Instances.Graph
266554	98	Cubical.Categories.Displayed.Instances.Arrow.Base
265695	95	Cubical.Categories.Displayed.Instances.Arrow
265695	94	Cubical.Categories.NaturalTransformation.Reind
265580	93	Cubical.Categories.Presheaf.Constructions.RightAdjoint
265338	93	Cubical.Categories.Functors.Constant.More
265322	92	Cubical.Categories.Displayed.Presheaf.Uncurried.Constructions
256000	92	Cubical.Categories.Displayed.Presheaf.Uncurried.Fibration
254374	91	Cubical.Categories.Displayed.Instances.Opposite
254359	90	Cubical.Categories.Displayed.Presheaf.Uncurried.UniversalProperties
197464	83	Cubical.Categories.Displayed.Limits.CartesianV
159515	66	Cubical.Categories.Displayed.Instances.Reindex.Properties
152123	51	Cubical.Categories.Displayed.Instances.Reindex.UniversalProperties
151552	50	Cubical.Categories.Displayed.Instances.Reindex.Fibration
140977	55	Cubical.Categories.Displayed.Presheaf.Uncurried.Constructions.Exponential
116846	51	Cubical.Categories.Displayed.Presheaf.Uncurried.Eq.Base
112035	48	Cubical.Categories.Limits.Pullback.More
111930	47	Cubical.Categories.Displayed.Presheaf.Uncurried.Constructions.UniversalQuantifier
110670	61	Cubical.Categories.Displayed.Presheaf.Uncurried.Constructions.ExponentialD
97834	46	Cubical.Categories.Displayed.Presheaf.Uncurried.Eq.Conversion.Base
